seed,fold,variant,model,r2,cutoff_age,sex,n
53,1,traj_wind,Ridge,0.5493418298212659,16,Male,957
53,1,traj_wind,GradientBoosting,0.5068142141493063,16,Male,957
53,1,full_no_anthro,Ridge,0.5774103857769706,16,Male,957
53,1,full_no_anthro,GradientBoosting,0.5439849457954168,16,Male,957
53,2,trajectory_only,Ridge,0.6059629316055533,16,Male,957
53,2,trajectory_only,GradientBoosting,0.5875287047303798,16,Male,957
53,2,traj_wind,Ridge,0.5932794649667599,16,Male,957
53,2,traj_wind,GradientBoosting,0.576398723817001,16,Male,957
53,2,full_no_anthro,Ridge,0.623987147321697,16,Male,957
53,2,full_no_anthro,GradientBoosting,0.6108798583466939,16,Male,957
53,3,trajectory_only,Ridge,0.6764077602738807,16,Male,957
53,3,trajectory_only,GradientBoosting,0.6717787028813579,16,Male,957
53,3,traj_wind,Ridge,0.6753100225082355,16,Male,957
53,3,traj_wind,GradientBoosting,0.6539179718746782,16,Male,957
53,3,full_no_anthro,Ridge,0.6735794031798125,16,Male,957
53,3,full_no_anthro,GradientBoosting,0.6858867929674313,16,Male,957
53,4,trajectory_only,Ridge,0.6097862382082244,16,Male,957
53,4,trajectory_only,GradientBoosting,0.5953938834710106,16,Male,957
53,4,traj_wind,Ridge,0.6214341348816939,16,Male,957
53,4,traj_wind,GradientBoosting,0.608731348560134,16,Male,957
53,4,full_no_anthro,Ridge,0.6544067465481258,16,Male,957
53,4,full_no_anthro,GradientBoosting,0.631042879053075,16,Male,957
54,0,trajectory_only,Ridge,0.6904917085382734,16,Male,957
54,0,trajectory_only,GradientBoosting,0.6858599489418262,16,Male,957
54,0,traj_wind,Ridge,0.6942226964085658,16,Male,957
54,0,traj_wind,GradientBoosting,0.6819219033081195,16,Male,957
54,0,full_no_anthro,Ridge,0.6965436053929432,16,Male,957
54,0,full_no_anthro,GradientBoosting,0.6844494978536537,16,Male,957
54,1,trajectory_only,Ridge,0.5840294107675804,16,Male,957
54,1,trajectory_only,GradientBoosting,0.5217578694123576,16,Male,957
54,1,traj_wind,Ridge,0.586700067043361,16,Male,957
54,1,traj_wind,GradientBoosting,0.5260467201759544,16,Male,957
54,1,full_no_anthro,Ridge,0.6112745045293122,16,Male,957
54,1,full_no_anthro,GradientBoosting,0.565931539420557,16,Male,957
54,2,trajectory_only,Ridge,0.5972590613802804,16,Male,957
