cutoff_age,sex,variant,model,cv_strategy,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,RMSE_ci_lo,RMSE_ci_hi,RMSE_std,MAE_mean,MAE_ci_lo,MAE_ci_hi,MAE_std,n_samples,n_folds,n_repeats
21,Male,traj_wind,GradientBoosting,random,0.9936784516975742,0.9902976521359946,0.9963310039342752,0.0015561398828167947,0.031813476008935485,0.02444183818084383,0.03974694080238924,0.003936912295590605,0.0075378416584661705,0.006966189135355802,0.008149659174576303,0.0003054748068340065,26515,5.0,500.0
21,Female,trajectory_only,Ridge,random,0.9956541684771842,0.9923036979139473,0.9982842492996155,0.0015492198024102037,0.043729044230522776,0.02809291819659768,0.05921960442995982,0.008021205919674406,0.014340598407570064,0.012510875772765507,0.016422974263742993,0.0010117578486079483,3397,5.0,500.0
21,Female,trajectory_only,RandomForest,random,0.9905419836000591,0.9861293425501946,0.9940901656843799,0.002072373772976949,0.06523454038470457,0.05122424182433297,0.08012213482461902,0.007452889848746759,0.03193912762392491,0.028248174403163614,0.03602142789899802,0.002012598852846149,3397,5.0,500.0
21,Female,trajectory_only,GradientBoosting,random,0.9951770325469992,0.9920841995481658,0.997570613040995,0.0014257202391626193,0.046328329422575316,0.033005885919371834,0.06007509786944371,0.00695048302652875,0.01632636646172721,0.014022874021885928,0.019008888663795003,0.0013002722654072163,3397,5.0,500.0
21,Female,traj_wind,Ridge,random,0.9956331354651565,0.9923043914004865,0.9982364224976887,0.0015414177955551211,0.04385045965058092,0.028381736425333603,0.05923557035335281,0.007952433458605655,0.01486059341995527,0.012987362396220762,0.016965023290741194,0.0010186902649694956,3397,5.0,500.0
21,Female,traj_wind,RandomForest,random,0.9919782975877978,0.9882633410136077,0.9950749442654434,0.0017631218957038972,0.060061467499401465,0.04726227988835313,0.07328306984336816,0.006781917492368435,0.03049090095999973,0.027043769086539434,0.0342686227664332,0.001815080593260732,3397,5.0,500.0
21,Female,traj_wind,GradientBoosting,random,0.9951521021643357,0.9919740649593701,0.9975772133243912,0.0014591057783421508,0.04643017991163263,0.03306668498971136,0.06050237452431673,0.00709416093097126,0.01661489280866794,0.01419116742768512,0.019445887870084888,0.0013171795871466819,3397,5.0,500.0
22,Male,trajectory_only,Ridge,random,0.9968760617068765,0.9938779303567727,0.9987830023510369,0.0013053846608209157,0.022319956793715727,0.014240807672672025,0.031846811922023335,0.004709193996307862,0.003786592115009661,0.0034683812873680794,0.004171157340411634,0.0001793116276735835,26882,5.0,500.0
22,Male,trajectory_only,RandomForest,random,0.9940890488100093,0.9910365807486624,0.9962744310743734,0.0013954579544592524,0.031167684638813434,0.024707789021815606,0.038969005500013656,0.0037016217433641597,0.010018676036067303,0.00931789932959772,0.01078380051291927,0.0003793514091331806,26882,5.0,500.0
22,Male,trajectory_only,GradientBoosting,random,0.9966665980926477,0.9938536379466154,0.9984586217330345,0.0012585834335467757,0.02315869668042643,0.01600792304828652,0.032129433508996275,0.004355758914043622,0.005368968646108206,0.00492607393904203,0.005859404522158655,0.00024230151187753284,26882,5.0,500.0
22,Male,traj_wind,Ridge,random,0.9968746728936465,0.9938778282378035,0.9987817882682992,0.0013048987538930594,0.022325736431845638,0.014257950498380119,0.03185011878903999,0.0047063108432008225,0.0038607773892868494,0.0035406388363142236,0.0042421570535989125,0.0001785930173304647,26882,5.0,500.0
22,Male,traj_wind,RandomForest,random,0.9950283721455807,0.9920221832224612,0.9970427517881155,0.0013300344505029504,0.028529604587199397,0.022179455205422076,0.03660209773092037,0.0038045994440666564,0.010356584824148706,0.009736954236883946,0.011044299443380033,0.000335570514678731,26882,5.0,500.0
22,Male,traj_wind,GradientBoosting,random,0.9966589923076438,0.9937894105956908,0.9984608531797786,0.0012600854600084083,0.0231863026577878,0.016070399682573358,0.03218199673379396,0.004353650165026635,0.005405880949351668,0.004955547411462674,0.005917378977253257,0.00024169221087636523,26882,5.0,500.0
22,Female,trajectory_only,Ridge,random,0.9978101971424771,0.995168168904551,0.9994333276160919,0.0011165487268462175,0.03087343522206538,0.01625015141832065,0.04733427478793177,0.008199622914584826,0.008935015750763206,0.007671549982654313,0.010488854872113474,0.000725701439407335,3462,5.0,500.0
22,Female,trajectory_only,RandomForest,random,0.9925778758326956,0.988860412067982,0.9955997100872142,0.0017830962243276542,0.058414279148809235,0.04462880059765274,0.07295728420716421,0.007406982368640561,0.0290313704377083,0.025507792607455393,0.03271716174763943,0.0018464876781141208,3462,5.0,500.0
22,Female,trajectory_only,GradientBoosting,random,0.9973910692857749,0.9950307480299079,0.9989465485443165,0.0010130890361644295,0.03421295269378668,0.0219145930900122,0.048048271229046355,0.006767419783758967,0.011723876009633772,0.009921385709853974,0.01361987826708923,0.000944035578590559,3462,5.0,500.0
