cutoff_age,sex,variant,model,cv_strategy,n_samples,n_features,n_repeats,R2_mean,R2_ci_lo,R2_ci_hi,R2_std,RMSE_mean,MAE_mean,tag,n_groups
18,Male,full_no_anthro,GradientBoosting,random,2662,47,500.0,0.8074039798903438,0.7733741085583877,0.8374304268063436,0.01630346397671216,0.17395433133864519,0.13351853580363363,primary,
18,Male,full_no_anthro,GradientBoosting,province_disjoint,2175,47,,0.7991142108681866,,,0.035913534406871936,0.17898995523896563,0.1387564263170999,primary,28.0
18,Female,trajectory_only,Ridge,random,522,26,500.0,0.30895519079963146,-0.6995906270239274,0.6164829993991827,0.37713878118473276,0.40066191891238584,0.2673161783854071,primary,
18,Female,trajectory_only,RandomForest,random,522,26,500.0,0.6210759993633539,0.44767806704285146,0.7438234312717773,0.07511397996346621,0.3033461649541889,0.2081973888874986,primary,
18,Female,trajectory_only,GradientBoosting,random,522,26,500.0,0.6163316807242043,0.40548930688900353,0.7562107884574765,0.08884253565539704,0.3046186734458535,0.2043374459551227,primary,
18,Female,trajectory_only,GradientBoosting,province_disjoint,470,26,,0.6042971686368992,,,0.11329888389880427,0.307258409399714,0.20964360217332806,primary,25.0
18,Female,traj_wind,Ridge,random,522,40,500.0,0.2838749108157772,-0.8368972606542991,0.6102163702512483,0.41114083884130476,0.407195477193147,0.27239098777070175,primary,
18,Female,traj_wind,RandomForest,random,522,40,500.0,0.6236834808345698,0.4424856369372023,0.7483723327510775,0.078532898832281,0.30209597301022384,0.2061995335577215,primary,
18,Female,traj_wind,GradientBoosting,random,522,40,500.0,0.644032792316718,0.4434841216050294,0.7765361972905708,0.08507578464791257,0.29321111800419947,0.19783064580064166,primary,
18,Female,traj_wind,GradientBoosting,province_disjoint,470,40,,0.6043480382832418,,,0.07548670712520048,0.3071233324343801,0.20671537106825597,primary,25.0
18,Female,full_no_anthro,Ridge,random,522,47,500.0,0.3347056522904532,-0.6863740545808974,0.6363689515362501,0.3876903049443293,0.3923275811283204,0.2621894842925787,primary,
18,Female,full_no_anthro,RandomForest,random,522,47,500.0,0.6469847221490536,0.47625783693663726,0.7651056255831241,0.07252457707832333,0.2926438199211832,0.202854364166,primary,
18,Female,full_no_anthro,GradientBoosting,random,522,47,500.0,0.6672802097041872,0.4721364932507555,0.7849383296504232,0.07991441383777872,0.2834755749200654,0.19409864565539864,primary,
18,Female,full_no_anthro,GradientBoosting,province_disjoint,470,47,,0.6427392819987785,,,0.07282843787080301,0.2913353831422414,0.20283858112091252,primary,25.0
19,Male,trajectory_only,Ridge,random,1300,26,100.0,0.7762130049609576,0.6543867312389645,0.8396277825412521,0.04781301050874984,0.19389482225651705,0.14849028594655894,supplementary,
19,Male,trajectory_only,RandomForest,random,1300,26,100.0,0.7631067660829736,0.6981752838029632,0.8120911994129096,0.029378016352075292,0.20040570368686797,0.15354394684278375,supplementary,
19,Male,trajectory_only,GradientBoosting,random,1300,26,100.0,0.7614792135933234,0.6623244542177277,0.8204798576275523,0.03894708744059249,0.2008284040781804,0.1508029944638004,supplementary,
